SN65230:0;2021-06-17;0.1
SN65230:0;2021-06-18;2.2
SN65230:0;2021-06-19;0.4
SN65230:0;2021-06-20;2.8
SN65230:0;2021-06-21;4.3
SN65230:0;2021-06-22;0
SN65230:0;2021-06-23;0
SN65230:0;2021-06-24;0.8
SN65230:0;2021-06-25;6.5
SN65230:0;2021-06-26;0.4
SN65230:0;2021-06-27;0.2
SN65230:0;2021-06-28;0
SN65230:0;2021-06-29;3.2
SN65230:0;2021-06-30;0.1
SN65230:0;2021-07-01;0
SN65230:0;2021-07-02;0
SN65230:0;2021-07-03;0
SN65230:0;2021-07-04;0
SN65230:0;2021-07-05;21.6
SN65230:0;2021-07-06;0
SN65230:0;2021-07-07;0.4
SN65230:0;2021-07-08;1.8
SN65230:0;2021-07-09;2.5
SN65230:0;2021-07-10;1.6
SN65230:0;2021-07-11;9.2
SN65230:0;2021-07-12;0.2
SN65230:0;2021-07-13;0
SN65230:0;2021-07-14;0
SN65230:0;2021-07-15;0
SN65230:0;2021-07-16;0.4
SN65230:0;2021-07-17;0.1
SN65230:0;2021-07-18;19.2
SN65230:0;2021-07-19;5
SN65230:0;2021-07-20;3.3
SN65230:0;2021-07-21;0
SN65230:0;2021-07-22;0
SN65230:0;2021-07-23;0
SN65230:0;2021-07-24;0
SN65230:0;2021-07-25;0
SN65230:0;2021-07-26;0
SN65230:0;2021-07-27;0
SN65230:0;2021-07-28;0.1
SN65230:0;2021-07-29;0
SN65230:0;2021-07-30;0.1
SN65230:0;2021-07-31;0
SN65230:0;2021-08-01;0
SN65230:0;2021-08-02;3.1
SN65230:0;2021-08-03;3
SN65230:0;2021-08-04;0.1
SN65230:0;2021-08-05;0
SN65230:0;2021-08-06;0.2
SN65230:0;2021-08-07;0
SN65230:0;2021-08-08;3.9
SN65230:0;2021-08-09;0
SN65230:0;2021-08-10;0
SN65230:0;2021-08-11;0
SN65230:0;2021-08-12;0
SN65230:0;2021-08-13;1.8
SN65230:0;2021-08-14;10.7
SN65230:0;2021-08-15;20
SN65230:0;2021-08-16;1
SN65230:0;2021-08-17;2.6
SN65230:0;2021-08-18;0
SN65230:0;2021-08-19;13
SN65230:0;2021-08-20;10.3
SN65230:0;2021-08-21;4
SN65230:0;2021-08-22;0.1
SN65230:0;2021-08-23;0
SN65230:0;2021-08-24;0.1
SN65230:0;2021-08-25;31.5
SN65230:0;2021-08-26;7.5
SN65230:0;2021-08-27;0
SN65230:0;2021-08-28;0
SN65230:0;2021-08-29;0
SN65230:0;2021-08-30;0
SN65230:0;2021-08-31;0
SN65230:0;2021-09-01;5.9
SN65230:0;2021-09-02;10.7
SN65230:0;2021-09-03;14.7
SN65230:0;2021-09-04;1
SN65230:0;2021-09-05;0
SN65230:0;2021-09-06;0
SN65230:0;2021-09-07;12
SN65230:0;2021-09-08;10.6
SN65230:0;2021-09-09;34.8
SN65230:0;2021-09-10;1.5
SN65230:0;2021-09-11;5
SN65230:0;2021-09-12;5
SN65230:0;2021-09-13;2.5
SN65230:0;2021-09-14;0
SN65230:0;2021-09-15;0
SN65230:0;2021-09-16;0.1
SN65230:0;2021-09-17;0.8
SN65230:0;2021-09-18;0
SN65230:0;2021-09-19;0
SN65230:0;2021-09-20;0
SN65230:0;2021-09-21;5.8
SN65230:0;2021-09-22;3.5
SN65230:0;2021-09-23;3.7
SN65230:0;2021-09-24;7.3
SN65230:0;2021-09-25;14.5
SN65230:0;2021-09-26;2.2
SN65230:0;2021-09-27;0.3
SN65230:0;2021-09-28;2.3
SN65230:0;2021-09-29;0.1
SN65230:0;2021-09-30;0
SN65230:0;2021-10-01;0
SN65230:0;2021-10-02;1.2
SN65230:0;2021-10-03;0
SN65230:0;2021-10-04;0
SN65230:0;2021-10-05;0
SN65230:0;2021-10-06;0
SN65230:0;2021-10-07;0.5
SN65230:0;2021-10-08;5.5
SN65230:0;2021-10-09;2.5
SN65230:0;2021-10-10;5
SN65230:0;2021-10-11;7.3
SN65230:0;2021-10-12;13.3
SN65230:0;2021-10-13;7.2
SN65230:0;2021-10-14;22.3
SN65230:0;2021-10-15;35.7
SN65230:0;2021-10-16;21.4
SN65230:0;2021-10-17;13.6
SN65230:0;2021-10-18;13.4
SN65230:0;2021-10-19;0.4
SN65230:0;2021-10-20;13.1
SN65230:0;2021-10-21;5.8
SN65230:0;2021-10-22;40
SN65230:0;2021-10-23;19.5
SN65230:0;2021-10-24;4
SN65230:0;2021-10-25;6.8
SN65230:0;2021-10-26;0.4
SN65230:0;2021-10-27;0.4
SN65230:0;2021-10-28;0.9
SN65230:0;2021-10-29;5.4
SN65230:0;2021-10-30;1.5
SN65230:0;2021-10-31;0
SN65230:0;2021-11-01;0.6
SN65230:0;2021-11-02;0.1
SN65230:0;2021-11-03;0
SN65230:0;2021-11-04;0.1
SN65230:0;2021-11-05;6.5
SN65230:0;2021-11-06;21.7
SN65230:0;2021-11-07;2.4
SN65230:0;2021-11-08;0
SN65230:0;2021-11-09;11.1
SN65230:0;2021-11-10;2.4
SN65230:0;2021-11-11;15.8
SN65230:0;2021-11-12;24
SN65230:0;2021-11-13;0
SN65230:0;2021-11-14;0
SN65230:0;2021-11-15;0
SN65230:0;2021-11-16;0.5
SN65230:0;2021-11-17;3
SN65230:0;2021-11-18;12
SN65230:0;2021-11-19;13.6
SN65230:0;2021-11-20;53.3
SN65230:0;2021-11-21;12
SN65230:0;2021-11-22;9.2
SN65230:0;2021-11-23;13.4
SN65230:0;2021-11-24;70.5
SN65230:0;2021-11-25;11
SN65230:0;2021-11-26;8.2
SN65230:0;2021-11-27;0
SN65230:0;2021-11-28;0
SN65230:0;2021-11-29;0
SN65230:0;2021-11-30;2.8
SN65230:0;2021-12-01;0.8
SN65230:0;2021-12-02;11
SN65230:0;2021-12-03;2.4
SN65230:0;2021-12-04;0
SN65230:0;2021-12-05;0.5
SN65230:0;2021-12-06;0
SN65230:0;2021-12-07;0
SN65230:0;2021-12-08;0
SN65230:0;2021-12-09;0
SN65230:0;2021-12-10;0
SN65230:0;2021-12-11;0
SN65230:0;2021-12-12;0
SN65230:0;2021-12-13;1.8
SN65230:0;2021-12-14;0
SN65230:0;2021-12-15;8
SN65230:0;2021-12-16;24.7
SN65230:0;2021-12-17;11.3
SN65230:0;2021-12-18;20.3
SN65230:0;2021-12-19;31.8
SN65230:0;2021-12-20;6
SN65230:0;2021-12-21;0.1
SN65230:0;2021-12-22;1.4
SN65230:0;2021-12-23;0.1
SN65230:0;2021-12-24;11.1
SN65230:0;2021-12-25;10.3
SN65230:0;2021-12-26;9.8
SN65230:0;2021-12-27;8.5
SN65230:0;2021-12-28;0
SN65230:0;2021-12-29;0
SN65230:0;2021-12-30;0.2
SN65230:0;2021-12-31;0.4
SN65230:0;2022-01-01;2.5
SN65230:0;2022-01-02;5.2
SN65230:0;2022-01-03;0.5
SN65230:0;2022-01-04;0.1
SN65230:0;2022-01-05;1.7
SN65230:0;2022-01-06;9.2
SN65230:0;2022-01-07;0.1
SN65230:0;2022-01-08;2.7
SN65230:0;2022-01-09;0.1
SN65230:0;2022-01-10;0
SN65230:0;2022-01-11;0
SN65230:0;2022-01-12;7.8
SN65230:0;2022-01-13;68.5
SN65230:0;2022-01-14;40.5
SN65230:0;2022-01-15;17.4
SN65230:0;2022-01-16;10.1
SN65230:0;2022-01-17;20.5
SN65230:0;2022-01-18;7.5
SN65230:0;2022-01-19;15.5
SN65230:0;2022-01-20;24.5
SN65230:0;2022-01-21;9.1
SN65230:0;2022-01-22;3.5
SN65230:0;2022-01-23;0.8
SN65230:0;2022-01-24;16.3
SN65230:0;2022-01-25;17.9
SN65230:0;2022-01-26;16.2
SN65230:0;2022-01-27;19.7
SN65230:0;2022-01-28;12
SN65230:0;2022-01-29;6.3
SN65230:0;2022-01-30;15.3
SN65230:0;2022-01-31;2.8
SN65230:0;2022-02-01;3.4
SN65230:0;2022-02-02;0
SN65230:0;2022-02-03;12.8
SN65230:0;2022-02-04;3.2
SN65230:0;2022-02-05;13.2
SN65230:0;2022-02-06;3.4
SN65230:0;2022-02-07;12.6
SN65230:0;2022-02-08;10.8
SN65230:0;2022-02-09;25.5
SN65230:0;2022-02-10;20.5
SN65230:0;2022-02-11;16.4
SN65230:0;2022-02-12;27.1
SN65230:0;2022-02-13;2.2
SN65230:0;2022-02-14;17
SN65230:0;2022-02-15;0.4
SN65230:0;2022-02-16;0
SN65230:0;2022-02-17;0.1
SN65230:0;2022-02-18;7.9
SN65230:0;2022-02-19;5.9
SN65230:0;2022-02-20;9.2
SN65230:0;2022-02-21;1.2
SN65230:0;2022-02-22;4.9
SN65230:0;2022-02-23;2.5
