,Landingstidspunkt,Bruttovekt
255,2022-07-30,1817962.35
260,2022-07-31,557865.97
7,2022-08-01,5116285.9
16,2022-08-02,5029714.29
25,2022-08-03,5537201.54
34,2022-08-04,4725291.79
43,2022-08-05,3163271.98
52,2022-08-06,1439543.89
61,2022-08-07,3949996.42
70,2022-08-08,5512128.18
79,2022-08-09,2959965.16
88,2022-08-10,2169154.0
97,2022-08-11,2607023.17
106,2022-08-12,1847825.74
115,2022-08-13,3159704.73
124,2022-08-14,6174048.43
133,2022-08-15,5948062.52
142,2022-08-16,5653747.18
151,2022-08-17,9697946.8
160,2022-08-18,12756459.05
169,2022-08-19,11664550.71
178,2022-08-20,11235021.89
186,2022-08-21,8026839.65
194,2022-08-22,12526243.959999999
202,2022-08-23,15415910.33
210,2022-08-24,11789361.01
218,2022-08-25,7592857.62
226,2022-08-26,11345652.06
234,2022-08-27,5797460.85
242,2022-08-28,5476425.04
249,2022-08-29,8232876.54
256,2022-08-30,9293509.57
261,2022-08-31,8302908.840000001
8,2022-09-01,9237257.03
17,2022-09-02,6963372.3
26,2022-09-03,6615824.82
35,2022-09-04,2147414.43
44,2022-09-05,13045789.8
53,2022-09-06,5471631.32
62,2022-09-07,6995271.75
71,2022-09-08,5542592.22
80,2022-09-09,6973279.44
89,2022-09-10,7831217.98
98,2022-09-11,7451472.63
107,2022-09-12,8500176.44
116,2022-09-13,11665589.76
125,2022-09-14,8377368.85
134,2022-09-15,8833221.290000001
143,2022-09-16,5042996.71
152,2022-09-17,2922763.68
161,2022-09-18,592341.29
170,2022-09-19,2197123.82
